Date : 2025-03-11 18:10:11
Directory : c:\Users\HP\Desktop\optal\fe-optal\src
Total : 234 files,  13432 codes, 491 comments, 2064 blanks, all 15987 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\buttons\ActionButton.jsx                                                            | JavaScript JSX |         44 |          0 |          3 |         47 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\Backup.js                                                                      | JavaScript     |         64 |          0 |          0 |         64 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\Cart.jsx                                                                       | JavaScript JSX |        225 |          3 |         59 |        287 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CartItem.jsx                                                                   | JavaScript JSX |        150 |          3 |         30 |        183 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CheckOutModal.jsx                                                              | JavaScript JSX |         91 |          0 |         16 |        107 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CheckOutModal.scss                                                             | SCSS           |         29 |          1 |          0 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CitySelector.jsx                                                               | JavaScript JSX |         22 |          0 |          3 |         25 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\SaveModal.jsx                                                                  | JavaScript JSX |         50 |          1 |          9 |         60 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\SaveModal.scss                                                                 | SCSS           |         14 |          1 |          0 |         15 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\cities.jsx                                                                     | JavaScript JSX |         16 |          0 |          1 |         17 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\handleSaveCart.jsx                                                             | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\AreYouSureModal.jsx                                                        | JavaScript JSX |         50 |          0 |          5 |         55 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserCityModal.jsx                                                    | JavaScript JSX |         77 |          0 |          9 |         86 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserFirstNameModal.jsx                                               | JavaScript JSX |         57 |          0 |          4 |         61 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserPhoneModal.jsx                                                   | JavaScript JSX |         57 |          0 |          5 |         62 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\CheckOut.jsx                                                               | JavaScript JSX |        196 |          1 |         27 |        224 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\CheckOut.scss                                                              | SCSS           |        190 |         12 |          8 |        210 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\GotYouModal.jsx                                                            | JavaScript JSX |         43 |          0 |          6 |         49 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ProductToCheckOut.jsx                                                      | JavaScript JSX |        140 |          1 |          9 |        150 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\Questions.jsx                                                              | JavaScript JSX |         52 |          0 |          3 |         55 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\feed\Feed.jsx                                                                       | JavaScript JSX |         56 |          0 |         11 |         67 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\DesktopFooter.jsx                                                            | JavaScript JSX |         90 |          0 |          7 |         97 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\Footer.jsx                                                                   | JavaScript JSX |         10 |         12 |          5 |         27 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\footer\MobileFooter.jsx                                                             | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\CatItem.jsx                                                                  | JavaScript JSX |         61 |          1 |          9 |         71 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\DesktopHeader.jsx                                                            | JavaScript JSX |        209 |          0 |         37 |        246 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\Header.jsx                                                                   | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\MobileHeader.jsx                                                             | JavaScript JSX |        202 |         34 |         36 |        272 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\SearchBar.jsx                                                                | JavaScript JSX |         47 |          0 |          5 |         52 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\header\components\Search.jsx                                                        | JavaScript JSX |         35 |          0 |          5 |         40 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\home_content\HomeContent.jsx                                                        | JavaScript JSX |         15 |          0 |          4 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_card\AddToCartButton.jsx                                                    | JavaScript JSX |         40 |          0 |          9 |         49 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_card\ProductCard.jsx                                                        | JavaScript JSX |         47 |          4 |          6 |         57 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_details\ProductDetails.jsx                                                  | JavaScript JSX |        259 |         11 |         26 |        296 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\product_details\_product_details.scss                                               | SCSS           |        280 |         20 |         48 |        348 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\support\Support.jsx                                                                 | JavaScript JSX |         63 |          0 |          4 |         67 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\tutorial\Tutorial.jsx                                                               | JavaScript JSX |        180 |          0 |         19 |        199 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\BackPage\BackPage.jsx                                                        | JavaScript JSX |         24 |          0 |          5 |         29 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\BackPage\BackPage.scss                                                       | SCSS           |          5 |          0 |          0 |          5 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\OrderCard\OrderCard.jsx                                                      | JavaScript JSX |        141 |          1 |          9 |        151 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\OrderCard\OrderCard.scss                                                     | SCSS           |         70 |          9 |          2 |         81 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\UpdateProduct.jsx                                                     | JavaScript JSX |         21 |          0 |         10 |         31 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\UpdateProduct.scss                                                    | SCSS           |          0 |         52 |          5 |         57 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Footer.jsx                                                 | JavaScript JSX |          8 |          0 |          3 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Form.jsx                                                   | JavaScript JSX |         70 |          0 |         14 |         84 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Header.jsx                                                 | JavaScript JSX |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\ColorVariant.jsx                                      | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Images.jsx                                            | JavaScript JSX |        104 |          0 |         20 |        124 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Images.scss                                           | SCSS           |         87 |          5 |          6 |         98 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Main.jsx                                              | JavaScript JSX |        264 |          0 |         30 |        294 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Main.scss                                             | SCSS           |         45 |          0 |          2 |         47 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\AddColor.jsx                                   | JavaScript JSX |        139 |          0 |         16 |        155 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\DeleteColor.jsx                                | JavaScript JSX |         37 |          0 |          8 |         45 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditColor.jsx                                  | JavaScript JSX |         70 |          1 |          8 |         79 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditImage.jsx                                  | JavaScript JSX |         83 |          0 |          8 |         91 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditProductModal.scss                          | SCSS           |         30 |          0 |          1 |         31 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Preview.jsx                                           | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Sales.jsx                                             | JavaScript JSX |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\BuyNowModal\BuyNowModal.jsx                                                  | JavaScript JSX |         95 |          0 |         17 |        112 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\BuyNowModal\BuyNowModal.scss                                                 | SCSS           |         16 |          1 |          0 |         17 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ClientAllowModal\ClientAllowModal.jsx                                        | JavaScript JSX |         72 |          0 |          9 |         81 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ClientAllowModal\ClientAllowModal.scss                                       | SCSS           |         17 |          1 |          1 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\GoToCartModal\GoToCartModal.jsx                                              | JavaScript JSX |         40 |          0 |          3 |         43 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\GoToCartModal\GoToCartModal.scss                                             | SCSS           |         14 |          0 |          0 |         14 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ManufacterAllowModal\ManufacterAllowModal.jsx                                | JavaScript JSX |         52 |          2 |          9 |         63 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ManufacterAllowModal\ManufacterAllowModal.scss                               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ManufacterIntroModal\ManufacterIntroModal.jsx                                | JavaScript JSX |         52 |          0 |          8 |         60 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ManufacterIntroModal\ManufacterIntroModal.scss                               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\QuickAuthModal\QuickAuthModal.jsx                                            | JavaScript JSX |         49 |          2 |          9 |         60 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\QuickAuthModal\QuickAuthModal.scss                                           | SCSS           |         16 |          0 |          2 |         18 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\globals.css                                                                                    | CSS            |         74 |         27 |         17 |        118 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\layout.js                                                                                      | JavaScript     |         37 |          2 |          7 |         46 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\login-customer\page.jsx                                                                        | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\login-factory\page.jsx                                                                         | JavaScript JSX |         10 |          1 |          2 |         13 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\newfactory\page.jsx                                                                            | JavaScript JSX |         10 |          0 |          3 |         13 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\page.js                                                                                        | JavaScript     |         13 |          0 |          2 |         15 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\product\[productId]\page.jsx                                                                   | JavaScript JSX |         16 |          0 |          4 |         20 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\redux\api\cartApi.js                                                                           | JavaScript     |         23 |          1 |          8 |         32 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\redux\slices\AddProductSlice.js                                                                | JavaScript     |         35 |         18 |          6 |         59 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\redux\slices\CartSlice.js                                                                      | JavaScript     |         92 |          6 |         20 |        118 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\redux\store.js                                                                                 | JavaScript     |          9 |          0 |          3 |         12 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\register-customer\page.jsx                                                                     | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\search\[query]\components\Search.jsx                                                           | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\search\[query]\components\Search.scss                                                          | SCSS           |          3 |          0 |          1 |          4 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\search\[query]\page.jsx                                                                        | JavaScript JSX |         14 |          0 |          6 |         20 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\base\reset.scss                                                                         | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\base\typography.scss                                                                    | SCSS           |          3 |          0 |          0 |          3 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_account_customer.scss                                                       | SCSS           |         88 |          1 |         17 |        106 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_account_header.scss                                                         | SCSS           |        165 |          2 |         41 |        208 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_account_products.scss                                                       | SCSS           |         26 |          0 |          4 |         30 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_addproduct.scss                                                             | SCSS           |        215 |          6 |         41 |        262 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_banner.scss                                                                 | SCSS           |        103 |          3 |         25 |        131 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_button.scss                                                                 | SCSS           |          6 |          0 |          0 |          6 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_cart.scss                                                                   | SCSS           |         91 |          7 |          8 |        106 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_cartItem.scss                                                               | SCSS           |        180 |         14 |         29 |        223 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_category.scss                                                               | SCSS           |         48 |          0 |         16 |         64 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_desktop_header.scss                                                         | SCSS           |        112 |          4 |         25 |        141 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_desktopcats.scss                                                            | SCSS           |         21 |          0 |          3 |         24 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_factory_cabinet.scss                                                        | SCSS           |          7 |          0 |          1 |          8 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_feed.scss                                                                   | SCSS           |         18 |          1 |          1 |         20 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_footer.scss                                                                 | SCSS           |         78 |          1 |         15 |         94 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_home_content.scss                                                           | SCSS           |          2 |          2 |          0 |          4 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_loginfactory.scss                                                           | SCSS           |         66 |          6 |         13 |         85 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_mobile_header.scss                                                          | SCSS           |         54 |          3 |         10 |         67 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_newfactory.scss                                                             | SCSS           |         68 |         23 |         19 |        110 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_product.scss                                                                | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_product_card.scss                                                           | SCSS           |        115 |          3 |         20 |        138 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_search.scss                                                                 | SCSS           |        104 |          0 |         19 |        123 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_subcategory.scss                                                            | SCSS           |         18 |          0 |          2 |         20 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_support.scss                                                                | SCSS           |         41 |          1 |          8 |         50 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\components\_tutorial.scss                                                               | SCSS           |         22 |          0 |          0 |         22 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\layout\grid.scss                                                                        | SCSS           |         14 |          0 |          1 |         15 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\styles\main.scss                                                                               | SCSS           |          3 |          1 |          2 |          6 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\subcategory\[subcatId]\page.jsx                                                                | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\support\page.jsx                                                                               | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\temp_data\main_page_data.jsx                                                                   | JavaScript JSX |         43 |          0 |          2 |         45 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\tutorial\page.jsx                                                                              | JavaScript JSX |         12 |          0 |          3 |         15 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\NewCity.jsx                                                                               | JavaScript JSX |         15 |          0 |          1 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\NewFirstName.jsx                                                                          | JavaScript JSX |         15 |          0 |          1 |         16 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\NewPhoneNumber.jsx                                                                        | JavaScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\colors.js                                                                                 | JavaScript     |        114 |          4 |          4 |        122 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\currency.js                                                                               | JavaScript     |          6 |          1 |          1 |          8 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\currencyMap.js                                                                            | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\fetchExchangeRates.js                                                                     | JavaScript     |         27 |          2 |          8 |         37 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\formatCurrency.js                                                                         | JavaScript     |         26 |          5 |          9 |         40 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\formatNumber.js                                                                           | JavaScript     |         10 |          0 |          1 |         11 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\postConfirmOrder.js                                                                       | JavaScript     |         18 |          0 |          1 |         19 |
| c:\Users\HP\Desktop\optal\fe-optal\src\app\util\temp.json                                                                                 | JSON           |          8 |          0 |          0 |          8 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\box.svg                                                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\boxtoo.svg                                                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\cart.svg                                                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\catalog.svg                                                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\profile.svg                                                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\search.svg                                                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Desktop\optal\fe-optal\src\public\star.svg                                                                                    | XML            |         10 |          1 |          0 |         11 |
| Total                                                                                                                                     |                |     13,432 |        491 |      2,064 |     15,987 |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
